Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees;;;;
3,937266667;-165,9632769;-0,006899378;-0,083276853;;;;
3,95395;-165,9685119;-0,005235004;-0,088511857;;;;
3,970633333;-165,9717916;-0,003279774;-0,091791631;;;;
3,987316667;-165,8728853;0,098906291;0,007114659;;;;
4,004;-165,9431112;-0,070225867;-0,063111208;;;;
4,020683333;-165,8824033;0,060707888;-0,002403319;;;;
4,037366667;-165,9093185;-0,026915149;-0,029318469;;;;
4,05405;-165,9353948;-0,026076371;-0,055394839;;;;
4,070733333;-166,0076058;-0,072210918;-0,127605758;;;;
4,087416667;-165,9729854;0,034620363;-0,092985394;;;;
4,1041;-166,0029196;-0,029934189;-0,122919583;;;;
4,120783333;-165,9618798;0,041039779;-0,081879805;;;;
4,137466667;-166,0178616;-0,055981834;-0,137861639;;;;
4,15415;-165,9540517;0,063809981;-0,074051658;;;;
4,170833333;-165,9520767;0,001974969;-0,072076689;;;;
4,187516667;-165,9642495;-0,012172808;-0,084249496;;;;
4,2042;-165,9573586;0,006890849;-0,077358647;;;;
4,220883333;-166,0065802;-0,049221602;-0,126580249;;;;
4,237566667;-165,8912942;0,115286063;-0,011294186;;;;
4,25425;-165,9643294;-0,073035193;-0,084329379;;;;
4,270933333;-165,9593066;0,005022731;-0,079306648;;;;
4,287616667;-165,9580299;0,001276781;-0,078029867;;;;
4,3043;-166,0040594;-0,046029558;-0,124059425;;;;
4,320983333;-165,9730927;0,030966732;-0,093092693;;;;
4,337666667;-165,9755254;-0,002432743;-0,095525436;;;;
4,35435;-166,0051851;-0,029659707;-0,125185143;;;;
4,371033333;-165,9561075;0,04907768;-0,076107464;;;;
4,387716667;-165,930734;0,025373442;-0,050734022;;;;
4,4044;-166,0331925;-0,102458492;-0,153192514;;;;
4,421083333;-165,9559228;0,077269702;-0,075922812;;;;
4,437766667;-165,9408055;0,015117359;-0,060805453;;;;
4,45445;-165,9275109;0,013294568;-0,047510886;;;;
4,471133333;-165,9651282;-0,037617345;-0,085128231;;;;
4,487816667;-165,9351504;0,029977792;-0,055150438;;;;
4,5045;-165,9643162;-0,029165806;-0,084316244;;;;
4,521183333;-165,9697384;-0,005422111;-0,089738356;;;;
4,537866667;-166,0061971;-0,036458741;-0,126197097;;;;
4,55455;-165,9569349;0,049262157;-0,07693494;;;;
4,571233333;-165,9811302;-0,024195211;-0,101130151;;;;
4,587916667;-165,9627972;0,01833297;-0,082797181;;;;
4,6046;-165,9681331;-0,005335899;-0,08813308;;;;
4,621283333;-165,9917633;-0,023630175;-0,111763255;;;;
4,637966667;-165,977339;0,014424267;-0,097338988;;;;
4,65465;-165,9946077;-0,017268683;-0,114607671;;;;
4,671333333;-165,9112194;0,083388244;-0,031219427;;;;
4,688016667;-165,9415319;-0,030312441;-0,061531868;;;;
4,7047;-165,9850566;-0,043524756;-0,105056625;;;;
4,721383333;-165,9796805;0,0053761;-0,099680525;;;;
4,738066667;-165,9333785;0,046301994;-0,053378531;;;;
4,75475;-165,9412544;-0,007875902;-0,061254433;;;;
4,771433333;-165,8984112;0,042843243;-0,01841119;;;;
4,788116667;-166,0177951;-0,119383863;-0,137795053;;;;
4,8048;-165,9049562;0,112838878;-0,024956174;;;;
4,821483333;-166,0096716;-0,104715471;-0,129671645;;;;
4,838166667;-165,8784699;0,131201705;0,001530059;;;;
4,85485;-165,9031322;-0,024662299;-0,023132239;;;;
4,871533333;-165,9572517;-0,054119471;-0,07725171;;;;
4,888216667;-165,9447686;0,012483085;-0,064768625;;;;
4,9049;-165,9481779;-0,003409275;-0,0681779;;;;
4,921583333;-165,9221934;0,025984544;-0,042193356;;;;
4,938266667;-165,9804589;-0,058265592;-0,100458948;;;;
4,95495;-165,9813931;-0,00093416;-0,101393108;;;;
4,971633333;-165,9220769;0,059316177;-0,042076931;;;;
4,988316667;-165,9155232;0,006553775;-0,035523156;;;;
5,005;-165,931717;-0,016193844;-0,051717;;;;
5,021683333;-165,9438321;-0,012115126;-0,063832125;;;;
5,038366667;-166,1459028;-0,202070632;-0,265902758;;;;
5,05505;-166,0038689;0,142033883;-0,123868874;;;;
5,071733333;-166,0020961;0,001772763;-0,122096111;;;;
5,088416667;-165,9389485;0,063147657;-0,058948454;;;;
5,1051;-165,9856444;-0,046695989;-0,105644443;;;;
5,121783333;-165,9575761;0,028068347;-0,077576096;;;;
5,138466667;-165,9050563;0,052519778;-0,025056318;;;;
5,15515;-165,9098077;-0,004751332;-0,02980765;;;;
5,171833333;-165,8878302;0,021977497;-0,007830153;;;;
5,188516667;-165,9614528;-0,07362265;-0,081452803;;;;
5,2052;-165,9345448;0,026907968;-0,054544835;;;;
5,221883333;-165,8045276;0,130017207;0,075472372;;;;
5,238566667;-165,5512827;0,253244976;0,328717349;;;;
5,25525;-165,2112399;0,340042763;0,668760112;;;;
5,271933333;-164,8919723;0,319267592;0,988027704;;;;
5,288616667;-164,6314962;0,260476125;1,248503829;;;;
5,3053;-164,355864;0,275632138;1,524135967;;;;
5,321983333;-163,9989539;0,356910168;1,881046135;;;;
